,coID,sales,inventory,strata_1,strata_2,strata_3
0,6578,124.4302005,6756.016916,1,1,1
1,6531,164.4604124,2429.508343,1,1,1
2,4555,191.6160813,46088.72642,1,1,1
3,8497,210.4967954,2990.580635,1,1,1
4,2096,842.9068215,194922.4802,1,1,1
5,5137,876.7317018,13507.438,1,1,1
6,721,998.5266585,315563.3603,1,1,1
7,8396,1016.209706,4093.62298,1,1,1
8,6705,1241.130076,4663.520816,1,1,1
9,5495,1271.885908,47845.39831,1,1,1
10,5387,1292.140253,28237.05592,1,1,1
11,7514,1387.964211,28426.25298,1,1,1
12,8483,1787.492931,3032.216464,1,1,1
13,4744,1799.905218,9996.673601,1,1,1
14,6566,1800.076066,13547.48625,1,1,1
15,6722,1941.345162,5013.61318,1,1,1
16,8507,2090.668961,5734.578268,1,1,1
17,7456,2098.170309,31823.82241,1,1,1
18,8399,2237.53403,389.5180858,1,1,1
19,6524,2296.505404,3902.455661,1,1,1
20,8409,2327.708622,2887.516777,1,1,1
21,6475,2362.348328,6639.25636,1,1,1
22,5676,2453.799359,10641.72259,1,1,1
23,9054,2547.265148,13902.47242,1,1,1
24,4634,2550.69101,10443.3018,1,1,1
25,8513,2618.835413,163.5928584,1,1,1
26,8630,2624.056681,5230.714935,1,1,1
27,8380,2686.831571,5687.451768,1,1,1
28,8565,2813.143645,5126.794617,1,1,1
29,9396,2861.443377,22966.41716,1,1,1
30,8572,2918.97325,1006.425284,1,1,1
31,8282,3141.07336,2892.734593,1,1,1
32,8404,3172.060139,1663.538767,1,1,1
33,3229,3210.403433,43837.01668,1,1,1
34,8636,3227.647286,1458.628683,1,1,1
35,4678,3263.768149,28050.26153,1,1,1
36,6690,3478.839797,4233.095386,1,1,1
37,5630,3490.505727,46906.42012,1,1,1
38,2042,3513.865747,226073.0661,1,1,1
39,6824,3697.85611,4505.596448,1,1,1
40,6837,3728.647394,3256.031807,1,1,1
41,7281,3820.24762,30034.9037,1,1,1
42,5151,3838.629664,30006.10245,1,1,1
43,9216,3898.735788,964.8160911,1,1,1
44,5403,4088.022042,78898.044,1,1,1
45,1960,4148.513909,465813.6353,1,1,1
46,6743,4209.404681,1392.889616,1,1,1
47,2191,4327.790476,111621.7706,1,1,1
48,8556,4328.163071,1493.534224,1,1,1
49,6496,4457.426664,12039.15679,1,1,1
50,6619,4458.959631,5178.974391,1,1,1
51,6507,4514.032568,8458.260405,1,1,1
52,5537,4543.461514,25528.0699,1,1,1
53,8550,4631.807128,5082.32556,1,1,1
54,8613,4747.855531,731.8197058,1,1,1
55,6829,4794.793491,15246.85016,1,1,1
56,2043,4964.487573,283785.8099,1,1,1
57,6736,5119.267047,7873.991767,1,1,1
58,8450,5121.692608,4829.514568,1,1,1
59,6466,5127.159393,5658.6445,1,1,1
60,4651,5135.950213,43015.00346,1,1,1
61,5332,5186.883491,23616.97463,1,1,1
62,6742,5296.526503,3393.725504,1,1,1
63,8569,5402.674158,10624.62116,1,1,1
64,8421,5408.893359,13354.51263,1,1,1
65,5623,5441.384003,54995.41336,1,1,1
66,4743,5445.648862,20499.9179,1,1,1
67,8522,5469.492483,6055.73068,1,1,1
68,8567,5478.861488,7358.044463,1,1,1
69,9160,5678.117054,4648.611031,1,1,1
70,8475,5759.563471,7997.393203,1,1,1
71,5473,5777.825092,39667.08796,1,1,1
72,6750,5866.247245,11887.55523,1,1,1
73,8289,5874.375618,9542.190402,1,1,1
74,6633,5975.603549,9834.673266,1,1,1
75,5603,6003.168228,81708.36984,1,1,1
76,5108,6086.666976,54964.9853,1,1,1
77,8626,6105.466894,1986.83055,1,1,1
78,8539,6266.181263,4579.336237,1,1,1
79,6691,6446.235668,8543.510494,1,1,1
80,5667,6460.055628,28665.2658,1,1,1
81,8571,6507.234982,11700.24342,1,1,1
82,7347,6514.27396,32025.83302,1,1,1
83,7467,6532.944655,24626.08341,1,1,1
84,8338,6598.84778,4835.208163,1,1,1
85,2153,6618.16891,133460.9131,1,1,1
86,8440,6626.275386,9772.294368,1,1,1
87,8405,6717.374037,4132.119149,1,1,1
88,8306,6740.717878,9894.821549,1,1,1
89,6594,6752.612435,6233.086101,1,1,1
90,8534,6761.131347,5016.885672,1,1,1
91,2077,6763.093988,189002.8973,1,1,1
92,6724,6792.708828,10978.71352,1,1,1
93,9151,6911.085184,7323.145182,1,1,1
94,4601,6925.303206,64794.09792,1,1,1
95,6556,6932.05217,13282.55956,1,1,1
96,5396,6991.623518,35013.40481,1,1,1
97,6635,7002.395722,14543.18333,1,1,1
98,6470,7029.565692,12353.85565,1,1,1
99,4545,7030.393799,45541.40704,1,1,1
100,463,7042.726407,282902.9955,1,1,1
101,6830,7048.062328,12166.71495,1,1,1
102,6640,7051.767917,8418.311514,1,1,1
103,6559,7071.558514,10646.67104,1,1,1
104,8376,7147.494019,3879.625958,1,1,1
105,2956,7188.238583,89032.19507,1,1,1
106,5066,7193.598296,30872.75399,1,1,1
107,6569,7212.450284,3636.271751,1,1,1
108,5683,7246.36953,54263.351,1,1,1
109,8548,7278.603733,13074.21058,1,1,1
110,8646,7282.914196,4383.76384,1,1,1
111,9057,7383.161019,13000.28704,1,1,1
112,5014,7410.926801,73359.52073,1,1,1
113,2214,7420.722713,145952.3255,1,1,1
114,4592,7421.982531,34952.32265,1,1,1
115,8589,7481.515586,8009.144285,1,1,1
116,2195,7494.69328,184223.2549,1,1,1
117,6694,7548.263109,9401.526286,1,1,1
118,5194,7554.178939,64352.31971,1,1,1
119,8606,7623.988202,5968.551867,1,1,1
120,8478,7705.867384,9955.352455,1,1,1
121,9294,7717.988262,21930.85289,1,1,1
122,8354,7761.960249,4324.236071,1,1,1
123,8573,7762.533124,6465.18276,1,1,1
124,2230,7813.567034,238200.464,1,1,1
125,8468,7817.985626,762.3891333,1,1,1
126,9327,7859.180967,13148.21043,1,1,1
127,5315,7924.841941,65011.69833,1,1,1
128,804,7932.574023,293139.5052,1,1,1
129,8320,7934.168832,5566.588966,1,1,1
130,6729,7951.134279,11645.27173,1,1,1
131,8562,7954.048696,11394.51149,1,1,1
132,6746,8033.142221,10898.18989,1,1,1
133,8537,8092.298426,11874.9194,1,1,1
134,8612,8155.794476,5323.470302,1,1,1
135,5229,8210.155248,23865.21731,1,1,1
136,9097,8246.882755,10836.75222,1,1,1
137,6649,8249.414768,5426.2782,1,1,1
138,7364,8250.225336,30349.32266,1,1,1
139,8333,8281.632625,9731.344588,1,1,1
140,8349,8283.765338,10542.72257,1,1,1
141,5065,8290.903593,53754.964,1,1,1
142,8489,8307.732309,8390.242258,1,1,1
143,5197,8354.981623,34738.72183,1,1,1
144,6749,8391.7499,9952.359212,1,1,1
145,4851,8482.559561,33170.53726,1,1,1
146,6660,8483.489521,4656.438145,1,1,1
147,9314,8550.595461,13341.74117,1,1,1
148,3043,8558.559084,37552.53166,1,1,1
149,1893,8610.430604,358483.8892,1,1,1
150,5303,8643.278908,39473.50926,1,1,1
151,8502,8669.070966,3296.467847,1,1,1
152,6479,8716.986129,7345.7192,1,1,1
153,8444,8731.74262,4158.103986,1,1,1
154,5617,8756.514496,19782.42332,1,1,1
155,5716,8766.236009,44536.6457,1,1,1
156,5190,8771.572247,55678.47824,1,1,1
157,2599,8793.874339,68491.87699,1,1,1
158,9147,8795.52531,13553.89484,1,1,1
159,2093,8816.10269,51993.84946,1,1,1
160,2128,8821.356716,51204.03183,1,1,1
161,6786,8854.025405,7085.840274,1,1,1
162,6494,8865.517145,947.9312834,1,1,1
163,8366,8924.580362,880.2255015,1,1,1
164,6782,8931.272034,15071.53925,1,1,1
165,5072,9051.206163,40343.26751,1,1,1
166,8638,9067.286875,9482.900043,1,1,1
167,5680,9084.864446,17085.61412,1,1,1
168,6653,9152.403206,13600.74583,1,1,1
169,8622,9168.058992,9075.703385,1,1,1
170,5329,9189.464491,58891.55425,1,1,1
171,2124,9198.502774,81421.36142,1,1,1
172,6818,9226.905172,11404.35887,1,1,1
173,9241,9272.174576,5906.841095,1,1,1
174,6801,9282.417131,12959.2296,1,1,1
175,6553,9366.63301,18418.19652,1,1,1
176,6495,9366.75929,14897.32131,1,1,1
177,6618,9381.070149,3802.150468,1,1,1
178,4988,9384.066224,11355.80516,1,1,1
179,8470,9425.115664,8518.258114,1,1,1
180,8559,9463.740935,5794.000979,1,1,1
181,8645,9475.135806,5378.319875,1,1,1
182,8598,9480.086077,9335.093152,1,1,1
183,2048,9491.030025,129103.7969,1,1,1
184,8512,9548.547705,3004.679313,1,1,1
185,8561,9555.260506,10169.62177,1,1,1
186,8541,9684.090342,11854.71624,1,1,1
187,6551,9686.956485,5235.449959,1,1,1
188,5263,9692.515982,54766.25445,1,1,1
189,5059,9743.182978,53540.73545,1,1,1
190,6725,9744.172718,16011.42202,1,1,1
191,5407,9802.105431,46441.79219,1,1,1
192,5271,9804.64964,54878.73132,1,1,1
193,8429,9879.461094,7107.558613,1,1,1
194,6715,9886.814673,7846.763704,1,1,1
195,7346,9892.497878,31515.86925,1,1,1
196,8342,9957.492973,4762.802356,1,1,1
197,8305,9966.589305,7696.883937,1,1,1
198,6671,10045.68946,5437.072158,1,1,1
199,8553,10046.95571,15931.87022,1,1,1
200,8291,10093.79303,11522.95173,1,1,1
201,8471,10141.67062,5315.715853,1,1,1
202,2125,10257.1915,102852.5894,1,1,1
203,6678,10257.60332,11102.29545,1,1,1
204,2197,10278.53699,61224.69834,1,1,1
205,1948,10281.18147,272952.7913,1,1,1
206,6835,10329.63152,6530.93915,1,1,1
207,4940,10338.06831,29814.43122,1,1,1
208,6697,10359.57613,8295.874275,1,1,1
209,5143,10429.46746,83455.77071,1,1,1
210,6591,10442.96988,3647.468725,1,1,1
211,9150,10502.37726,14718.93609,1,1,1
212,6492,10557.4875,2747.00664,1,1,1
213,8415,10642.44186,343.0677022,1,1,1
214,8608,10702.42346,5741.83288,1,1,1
215,6665,10826.9587,8602.1001,1,1,1
216,2090,10875.11465,85065.71759,1,1,1
217,4989,10960.62461,60433.80061,1,1,1
218,5283,10961.96054,72752.62237,1,1,1
219,6632,10972.67908,5901.29931,1,1,1
220,8391,10989.04129,8477.639667,1,1,1
221,5154,11126.12067,76144.39344,1,1,1
222,8341,11161.34599,14184.12909,1,1,1
223,6486,11187.12533,10069.64446,1,1,1
224,6609,11245.02504,4334.96735,1,1,1
225,2286,11285.13026,109996.0809,1,1,1
226,8492,11320.81597,10530.5999,1,1,1
227,6588,11327.85054,6850.224298,1,1,1
228,8455,11425.06889,7556.793667,1,1,1
229,6529,11441.80916,14770.83568,1,1,1
230,5656,11444.93769,49141.25743,1,1,1
231,8348,11525.83101,8870.142524,1,1,1
232,8438,11550.18346,16432.93717,1,1,1
233,6686,11591.78279,18510.45069,1,1,1
234,8402,11615.6736,5884.793921,1,1,1
235,7399,11640.04398,34215.59633,1,1,1
236,8607,11717.23884,12164.10971,1,1,1
237,6726,11741.94401,5139.77345,1,1,1
238,8533,11802.54709,5990.210942,1,1,1
239,3240,11811.20048,6776.341954,1,1,1
240,5025,11812.48611,17928.49828,1,1,1
241,8372,11834.66341,13641.38602,1,1,1
242,6463,11839.99412,7495.795427,1,1,1
243,2619,11840.93048,59319.93561,1,1,1
244,8420,11848.30121,18147.44344,1,1,1
245,6712,11858.02549,14990.90416,1,1,1
246,4957,11988.7332,40567.64284,1,1,1
247,6794,12010.22292,16151.06729,1,1,1
248,8315,12058.6118,13851.29205,1,1,1
249,6741,12072.95961,13476.41157,1,1,1
250,7403,12099.21773,32566.31184,1,1,1
251,6772,12235.62788,7714.860075,1,1,1
252,8319,12339.90776,13688.81005,1,1,1
253,2060,12349.47972,100576.8117,1,1,1
254,9276,12393.31787,17460.75928,1,1,1
255,6478,12406.38042,12721.41612,1,1,1
256,8560,12483.07826,5942.633176,1,1,1
257,5390,12488.56768,54066.27653,1,1,1
258,8637,12582.14777,11054.65494,1,1,1
259,8592,12584.83133,1487.645417,1,1,1
260,6760,12596.74933,11189.99794,1,1,1
261,8536,12613.10052,10831.97295,1,1,1
262,8491,12673.51175,6699.124972,1,1,1
263,8347,12711.20179,5735.63226,1,1,1
264,6768,12721.01623,6977.206714,1,1,1
265,8417,12777.78815,3859.252668,1,1,1
266,4732,12783.34701,43944.39078,1,1,1
267,8530,12785.39625,11788.29018,1,1,1
268,5018,12821.53402,24340.71034,1,1,1
269,8298,12850.19621,7509.496017,1,1,1
270,7254,12886.8084,34496.18289,1,1,1
271,9253,12894.52992,16077.67258,1,1,1
272,3256,12895.99143,25819.60932,1,1,1
273,8458,12947.06669,11589.36965,1,1,1
274,8504,12955.94728,15857.00744,1,1,1
275,6487,12960.82065,14120.71191,1,1,1
276,6636,12981.89392,13597.21086,1,1,1
277,8375,13004.737,10080.78483,1,1,1
278,6520,13013.9286,8246.854915,1,1,1
279,8495,13046.90979,8936.641096,1,1,1
280,8578,13054.00971,14383.17809,1,1,1
281,6468,13068.38271,15610.85512,1,1,1
282,8389,13077.48292,13411.39357,1,1,1
283,8307,13105.21876,10325.101,1,1,1
284,8400,13109.61989,18027.30501,1,1,1
285,8413,13124.88688,12421.11257,1,1,1
286,6536,13155.55088,7588.609585,1,1,1
287,4707,13176.75086,35497.86583,1,1,1
288,5566,13196.14546,14092.56348,1,1,1
