coID,sales,inventory,cum_inventory,Cum_Stratum,E_Stratum_3,Cum_fy_Stratum
4554,19646.49532,3.029166533,3.029166533,1,1,1
6839,17459.08922,71.11070834,74.13987487,1,1,1
8513,2618.835413,163.5928584,237.7327333,1,1,1
9270,17442.50146,321.8923222,559.6250555,1,1,1
8415,10642.44186,343.0677022,902.6927577,1,1,1
8399,2237.53403,389.5180858,1292.210843,1,1,1
4708,56220.28327,435.1184739,1727.329317,1,1,1
9250,52589.67982,546.2736754,2273.602993,1,1,1
9082,32365.32226,656.1716737,2929.774666,1,1,1
8613,4747.855531,731.8197058,3661.594372,1,1,1
8468,7817.985626,762.3891333,4423.983506,1,1,1
8366,8924.580362,880.2255015,5304.209007,1,1,1
5212,35443.23896,926.5559709,6230.764978,1,1,1
6494,8865.517145,947.9312834,7178.696261,1,1,1
9216,3898.735788,964.8160911,8143.512352,1,1,1
9325,17487.24179,1001.609884,9145.122236,1,1,1
2621,41786.76756,1002.034931,10147.15717,1,1,1
8572,2918.97325,1006.425284,11153.58245,1,1,1
9208,16035.6626,1264.718139,12418.30059,1,1,1
9230,42204.73358,1302.973229,13721.27382,1,1,1
6743,4209.404681,1392.889616,15114.16344,1,1,1
8636,3227.647286,1458.628683,16572.79212,1,1,1
8592,12584.83133,1487.645417,18060.43754,1,1,1
8556,4328.163071,1493.534224,19553.97176,1,1,1
1946,565280.8211,1494.698322,21048.67008,1,1,1
8404,3172.060139,1663.538767,22712.20885,1,1,1
9093,46259.05779,1712.60797,24424.81682,1,1,1
4616,53758.62811,1799.86665,26224.68347,1,1,1
8626,6105.466894,1986.83055,28211.51402,1,1,1
9339,33575.8259,2320.827652,30532.34167,1,1,1
3041,87653.53119,2331.463226,32863.8049,1,1,1
6531,164.4604124,2429.508343,35293.31324,1,1,1
5067,40027.74138,2503.952037,37797.26528,1,1,1
9343,42626.87828,2574.767893,40372.03317,1,1,1
9366,25196.45571,2607.62218,42979.65535,1,1,1
9203,39261.45637,2706.586416,45686.24177,1,1,1
6522,15787.16638,2742.419576,48428.66134,1,1,1
6492,10557.4875,2747.00664,51175.66798,1,1,1
9087,27404.39224,2763.887672,53939.55565,1,1,1
5225,26601.03813,2882.963363,56822.51902,1,1,1
8409,2327.708622,2887.516777,59710.03579,1,1,1
8282,3141.07336,2892.734593,62602.77039,1,1,1
3239,45765.18622,2892.972179,65495.74257,1,1,1
5222,27738.95727,2925.838143,68421.58071,1,1,1
8497,210.4967954,2990.580635,71412.16134,1,1,1
8512,9548.547705,3004.679313,74416.84066,1,1,1
8483,1787.492931,3032.216464,77449.05712,1,1,1
3241,38273.58442,3236.215528,80685.27265,1,1,1
6837,3728.647394,3256.031807,83941.30446,1,1,1
8502,8669.070966,3296.467847,87237.7723,1,1,1
9355,18553.83161,3389.035701,90626.808,1,1,1
6742,5296.526503,3393.725504,94020.53351,1,1,1
7373,102953.1435,3502.049595,97522.5831,1,1,1
6569,7212.450284,3636.271751,101158.8549,1,1,1
6591,10442.96988,3647.468725,104806.3236,1,1,1
6657,15848.79879,3703.152002,108509.4756,1,1,1
2603,87992.41888,3723.521207,112232.9968,1,1,1
3063,59917.42399,3723.793194,115956.79,1,1,1
6703,14756.62727,3740.133972,119696.924,1,1,1
6618,9381.070149,3802.150468,123499.0744,1,1,1
6576,25294.09073,3846.492835,127345.5673,1,1,1
8417,12777.78815,3859.252668,131204.8199,1,1,1
8376,7147.494019,3879.625958,135084.4459,1,1,1
6524,2296.505404,3902.455661,138986.9015,1,1,1
2640,49211.77907,3972.417965,142959.3195,1,1,1
3023,49922.14188,4027.610541,146986.93,1,1,1
8396,1016.209706,4093.62298,151080.553,1,1,1
8405,6717.374037,4132.119149,155212.6722,1,1,1
1335,47580.97557,4154.516019,159367.1882,1,1,1
8444,8731.74262,4158.103986,163525.2922,1,1,1
6690,3478.839797,4233.095386,167758.3876,1,1,1
8354,7761.960249,4324.236071,172082.6236,1,1,1
6609,11245.02504,4334.96735,176417.591,1,1,1
1138,62324.37569,4343.704214,180761.2952,1,1,1
8646,7282.914196,4383.76384,185145.059,1,1,1
6824,3697.85611,4505.596448,189650.6555,1,1,1
6748,21776.51703,4523.300401,194173.9559,1,1,1
6501,15438.80511,4559.136922,198733.0928,1,1,1
8419,17323.64729,4564.697067,203297.7899,1,1,1
7284,100727.7672,4575.849952,207873.6398,1,1,1
8539,6266.181263,4579.336237,212452.9761,1,1,1
9160,5678.117054,4648.611031,217101.5871,1,1,1
6660,8483.489521,4656.438145,221758.0252,1,1,1
6705,1241.130076,4663.520816,226421.5461,1,1,1
8342,9957.492973,4762.802356,231184.3484,1,1,1
4584,29050.36888,4801.623213,235985.9716,1,1,1
8450,5121.692608,4829.514568,240815.4862,1,1,1
8338,6598.84778,4835.208163,245650.6944,1,1,1
6722,1941.345162,5013.61318,250664.3075,1,1,1
8534,6761.131347,5016.885672,255681.1932,1,1,1
8550,4631.807128,5082.32556,260763.5188,1,1,1
8565,2813.143645,5126.794617,265890.3134,1,1,1
6726,11741.94401,5139.77345,271030.0868,1,1,1
6619,4458.959631,5178.974391,276209.0612,1,1,1
9260,39721.09555,5219.945189,281429.0064,1,1,1
8630,2624.056681,5230.714935,286659.7214,1,1,1
6551,9686.956485,5235.449959,291895.1713,1,1,1
5149,36906.94414,5246.188357,297141.3597,1,1,1
6791,14511.10119,5272.385814,302413.7455,1,1,1
8471,10141.67062,5315.715853,307729.4613,1,1,1
6771,17888.49052,5316.276209,313045.7375,1,1,1
8612,8155.794476,5323.470302,318369.2079,1,1,1
8645,9475.135806,5378.319875,323747.5277,1,1,1
6649,8249.414768,5426.2782,329173.8059,1,1,1
6671,10045.68946,5437.072158,334610.8781,1,1,1
8325,13429.93012,5541.343977,340152.2221,1,1,1
4588,37796.94228,5554.530867,345706.7529,1,1,1
9257,30554.82308,5557.462828,351264.2158,1,1,1
8320,7934.168832,5566.588966,356830.8047,1,1,1
6687,18621.43213,5586.375503,362417.1802,1,1,1
9189,70613.71941,5611.979277,368029.1595,1,1,1
6466,5127.159393,5658.6445,373687.804,1,1,1
8380,2686.831571,5687.451768,379375.2558,1,1,1
8507,2090.668961,5734.578268,385109.834,1,1,1
8347,12711.20179,5735.63226,390845.4663,1,1,1
8608,10702.42346,5741.83288,396587.2992,1,1,1
7477,96875.06832,5767.256019,402354.5552,1,1,1
8446,13686.55776,5771.061606,408125.6168,1,1,1
8559,9463.740935,5794.000979,413919.6178,1,1,1
8403,13884.20345,5840.349208,419759.967,1,1,1
7436,95871.54975,5845.48105,425605.448,1,1,1
8301,15464.01921,5874.601226,431480.0493,1,1,1
8402,11615.6736,5884.793921,437364.8432,1,1,1
9397,24731.22509,5886.135015,443250.9782,1,1,1
6632,10972.67908,5901.29931,449152.2775,1,1,1
9241,9272.174576,5906.841095,455059.1186,1,1,1
9068,93486.67842,5907.162606,460966.2812,1,1,1
4552,68241.05239,5936.581188,466902.8624,1,1,1
8560,12483.07826,5942.633176,472845.4956,1,1,1
8606,7623.988202,5968.551867,478814.0474,1,1,1
4414,90271.47948,5987.634491,484801.6819,1,1,1
8533,11802.54709,5990.210942,490791.8929,1,1,1
6614,19704.15027,6049.450524,496841.3434,1,1,1
8522,5469.492483,6055.73068,502897.0741,1,1,1
9213,18575.15597,6221.629693,509118.7038,1,1,1
6594,6752.612435,6233.086101,515351.7899,1,1,1
6641,16623.08228,6279.364005,521631.1539,1,1,1
6537,17872.88442,6285.098775,527916.2527,1,1,1
6534,13730.1178,6295.913215,534212.1659,1,1,1
9363,25293.07088,6432.782919,540644.9488,1,1,1
5012,48155.31496,6445.073042,547090.0218,1,1,1
8573,7762.533124,6465.18276,553555.2046,1,1,1
9271,34719.85655,6504.826003,560060.0306,1,1,1
6835,10329.63152,6530.93915,566590.9697,1,1,1
2636,64615.03309,6551.511756,573142.4815,1,1,1
6475,2362.348328,6639.25636,579781.7379,1,1,1
4344,79830.04273,6642.627969,586424.3658,1,1,1
9039,52829.87156,6645.583782,593069.9496,1,1,1
8491,12673.51175,6699.124972,599769.0746,1,1,1
8368,14784.18871,6721.504504,606490.5791,1,1,1
7392,111907.5201,6731.297317,613221.8764,1,1,1
6578,124.4302005,6756.016916,619977.8933,1,1,1
